,Symbol,Date,Open,High,Low,Close,Vol
7,NBB,2011-03-20,156.0,154.0,150.0,150.0,290.00
22,NBB,2011-03-24,145.0,145.0,141.0,141.0,750.00
38,NBB,2011-03-25,141.0,147.0,139.0,142.0,"3,358.00"
53,NBB,2011-03-27,142.0,141.0,138.0,138.0,"1,120.00"
68,NBB,2011-03-28,138.0,137.0,132.0,132.0,"2,050.00"
83,NBB,2011-03-29,132.0,136.0,124.0,136.0,"4,168.00"
97,NBB,2011-03-30,136.0,143.0,134.0,143.0,350.00
112,NBB,2011-03-31,143.0,141.0,134.0,139.0,"15,030.00"
128,NBB,2011-04-04,139.0,147.0,141.0,145.0,300.00
142,NBB,2011-04-05,145.0,149.0,138.0,146.0,"20,550.00"
155,NBB,2011-04-06,146.0,144.0,134.0,135.0,900.00
169,NBB,2011-04-07,135.0,133.0,129.0,129.0,900.00
186,NBB,2011-04-10,129.0,137.0,131.0,137.0,630.00
202,NBB,2011-04-11,137.0,148.0,139.0,148.0,240.00
229,NBB,2011-04-17,148.0,153.0,149.0,150.0,140.00
243,NBB,2011-04-18,150.0,155.0,145.0,155.0,283.00
256,NBB,2011-04-19,155.0,166.0,152.0,166.0,165.00
269,NBB,2011-04-20,166.0,169.0,169.0,169.0,40.00
319,NBB,2011-04-27,169.0,181.0,166.0,181.0,470.00
334,NBB,2011-04-28,181.0,193.0,184.0,193.0,120.00
348,NBB,2011-05-02,193.0,190.0,187.0,187.0,20.00
373,NBB,2011-05-04,187.0,184.0,184.0,184.0,10.00
415,NBB,2011-05-09,184.0,181.0,181.0,181.0,10.00
429,NBB,2011-05-10,181.0,178.0,163.0,163.0,"1,190.00"
444,NBB,2011-05-11,163.0,160.0,148.0,148.0,150.00
457,NBB,2011-05-12,148.0,146.0,134.0,136.0,"5,400.00"
471,NBB,2011-05-15,136.0,144.0,134.0,134.0,863.00
485,NBB,2011-05-16,134.0,136.0,134.0,134.0,780.00
501,NBB,2011-05-18,134.0,132.0,130.0,130.0,440.00
516,NBB,2011-05-19,130.0,133.0,130.0,132.0,"1,570.00"
531,NBB,2011-05-22,132.0,132.0,124.0,124.0,"2,280.00"
546,NBB,2011-05-23,124.0,131.0,120.0,131.0,"5,100.00"
559,NBB,2011-05-24,131.0,140.0,131.0,138.0,540.00
575,NBB,2011-05-25,138.0,144.0,140.0,144.0,205.00
618,NBB,2011-05-31,144.0,142.0,132.0,132.0,"3,553.00"
634,NBB,2011-06-01,132.0,134.0,134.0,134.0,20.00
650,NBB,2011-06-02,134.0,132.0,129.0,129.0,600.00
680,NBB,2011-06-06,129.0,127.0,125.0,125.0,160.00
695,NBB,2011-06-07,125.0,127.0,125.0,125.0,502.00
711,NBB,2011-06-08,125.0,127.0,121.0,121.0,190.00
727,NBB,2011-06-09,121.0,127.0,113.0,113.0,610.00
742,NBB,2011-06-12,113.0,111.0,102.0,102.0,"2,325.00"
756,NBB,2011-06-13,102.0,108.0,104.0,105.0,"1,100.00"
772,NBB,2011-06-14,105.0,115.0,107.0,115.0,"1,390.00"
802,NBB,2011-06-16,115.0,114.0,114.0,114.0,300.00
818,NBB,2011-06-19,114.0,124.0,116.0,122.0,"1,410.00"
833,NBB,2011-06-20,114.0,124.0,116.0,122.0,"1,410.00"
847,NBB,2011-06-21,130.0,143.0,130.0,142.0,"11,068.00"
